,game_time,road_team,home_team,road_points,home_points,w_l,money_line_final,spread_init,spread_final,spread_w_l,spread_odds_final,totals_init,totals_final,totals_w_l,totals_odds_final,margin,margin_odds,expectedTotals0,expectedTotals1,totals_diff
0,2010-11-01 01:00:00,MIA,BKN,101,78,,,10.5,10.5,0,1.77,189.5,189.5,0,1.77,,,193.16666666666669,177.65,11.849999999999994
1,2011-02-17 08:30:00,LAL,CLE,99,104,3.0,6.5,10.5,13.5,3,1.77,202.5,202.5,3,1.77,主1-5,11.5,207.99880952380954,197.7,4.800000000000011
2,2011-03-22 07:00:00,ORL,CLE,97,86,0.0,1.04,11.5,12.5,3,1.77,195.5,195.5,0,1.77,客11-15,3.8,205.10720555215352,195.2,0.30000000000001137
3,2011-03-30 07:00:00,MIA,CLE,90,102,3.0,6.3,12.5,13.5,3,1.77,195.5,197.5,0,1.77,主11-15,21.0,206.79971171171172,193.45,2.0500000000000114
4,2011-03-31 07:00:00,MIA,WAS,123,107,0.0,1.06,10.5,10.5,0,1.77,199.5,199.5,3,1.77,客16-20,5.25,207.0645765765766,194.35,5.150000000000006
5,2011-04-02 08:00:00,MIA,MIN,111,92,0.0,1.06,10.5,11.5,0,1.77,206.5,207.5,0,1.77,客16-20,4.5,209.10707450444292,197.3,9.199999999999989
6,2011-04-04 06:00:00,MIA,BKN,108,94,0.0,1.06,10.5,11.5,0,1.77,196.5,197.5,3,1.77,客11-15,3.95,202.21845522898155,193.75,2.75
7,2011-12-29 08:00:00,MIA,CHA,96,95,0.0,1.01,10.5,11.5,3,1.72,190.5,191.5,0,2.0,客1-5,5.1,200.8,195.0,-4.5
8,2012-01-19 08:00:00,OKC,WAS,102,105,3.0,5.9,10.5,11.5,3,1.91,197.5,196.5,3,1.85,主1-5,11.0,198.64,184.25,13.25
9,2012-02-11 08:00:00,CHI,CHA,95,64,0.0,1.01,12.5,12.5,0,1.62,184.5,184.5,0,1.65,客26+,7.35,198.1310344827586,183.15,1.3499999999999943
10,2012-02-11 08:00:00,MIA,WAS,106,89,0.0,1.01,11.5,12.5,0,1.67,197.5,197.5,0,1.75,客16-20,4.1,203.13703703703703,186.55,10.949999999999989
11,2012-04-15 08:00:00,OKC,MIN,115,110,0.0,1.03,10.5,11.5,3,1.83,204.5,202.5,3,1.75,客1-5,5.15,203.15825136612023,199.7,4.800000000000011
12,2012-04-17 10:30:00,SAS,GSW,120,99,0.0,1.17,10.5,7.5,0,1.7,210.5,207.5,3,1.82,客21-25,9.5,203.93666666666667,203.2,7.300000000000011
13,2012-04-19 07:00:00,CHI,CHA,100,68,0.0,1.01,10.5,11.5,0,1.57,183.5,180.5,0,1.68,客26+,7.5,197.13008066614623,184.65,-1.1500000000000057
14,2012-04-21 07:00:00,MEM,CHA,85,80,0.0,1.01,13.5,13.5,3,1.88,182.5,181.5,0,1.75,客1-5,5.55,195.49052419354837,185.55,-3.0500000000000114
15,2012-12-05 08:00:00,MIA,WAS,101,105,3.0,6.65,11.5,11.5,3,1.81,195.5,195.5,3,1.65,主1-5,9.5,202.425,198.9,-3.4000000000000057
16,2012-12-27 08:00:00,MIA,CHA,105,92,0.0,1.03,10.5,9.5,0,1.68,204.5,201.5,0,1.75,客11-15,3.75,208.56346153846152,203.65,0.8499999999999943
17,2013-01-08 08:00:00,OKC,WAS,99,101,3.0,5.6,10.5,11.5,3,1.91,195.5,194.5,3,1.75,主1-5,10.0,202.69607843137254,192.95,2.5500000000000114
18,2013-03-09 08:00:00,OKC,CHA,116,94,0.0,1.0,13.5,15.5,0,1.7,204.5,204.5,3,1.76,客21-25,4.95,210.4225806451613,198.85,5.650000000000006
19,2013-03-13 07:00:00,BOS,CHA,74,100,3.0,6.3,10.5,11.5,3,1.81,189.5,189.5,0,1.75,主26+,200.0,198.94375,191.45000000000002,-1.950000000000017
20,2013-03-13 08:00:00,SAS,MIN,83,107,3.0,4.65,10.5,9.5,3,1.91,195.5,195.5,0,1.82,主21-25,120.0,202.26347394540943,197.45,-1.9499999999999886
21,2013-03-21 07:00:00,MIA,CLE,98,95,0.0,1.03,11.5,11.5,3,1.79,202.5,198.5,0,1.7,客1-5,5.1,204.60421422300263,202.0,0.5
22,2013-03-23 07:00:00,OKC,ORL,97,89,0.0,1.01,11.5,13.5,3,1.8,208.5,208.5,0,1.75,客6-10,3.25,207.14285714285717,197.95,10.550000000000011
23,2013-03-26 07:00:00,MIA,ORL,108,94,0.0,1.02,11.5,12.5,0,1.67,196.5,196.5,3,1.75,客11-15,3.7,204.53408450704222,201.1,-4.599999999999994
24,2013-10-31 07:00:00,MIA,PHI,110,114,3.0,6.3,11.5,11.5,3,1.84,194.5,195.5,3,1.75,主1-5,9.75,218.5,101.0,93.5
25,2013-11-17 09:30:00,OKC,MIL,92,79,0.0,1.04,10.5,10.5,0,1.7,196.5,198.5,0,1.76,客11-15,3.9,201.70000000000002,178.25,18.25
26,2013-12-10 10:00:00,POR,UTA,105,94,0.0,1.12,10.5,7.5,0,1.72,202.5,203.5,0,1.81,客11-15,4.1,208.2588932806324,198.24999999999997,4.250000000000028
27,2013-12-12 09:00:00,SAS,MIL,109,77,0.0,1.03,10.5,11.5,0,1.65,193.5,194.5,0,1.76,客26+,7.5,201.5625541125541,183.35,10.150000000000006
28,2014-01-18 08:00:00,MIA,PHI,101,86,0.0,1.03,10.5,10.5,0,1.66,211.5,211.5,0,1.79,客11-15,4.7,213.9975,197.7,13.800000000000011
29,2014-01-28 09:00:00,LAC,MIL,114,86,0.0,1.05,10.5,10.5,0,1.67,199.5,203.5,0,1.72,客26+,7.25,207.22572533849132,192.25,7.25
30,2014-02-09 09:30:00,HOU,MIL,101,95,0.0,1.03,10.5,11.5,3,1.8,206.5,205.5,0,1.81,客6-10,3.35,207.098,200.6,5.900000000000006
31,2014-02-14 11:30:00,OKC,LAL,107,103,0.0,1.02,11.5,11.5,3,1.77,207.5,205.5,3,1.77,客1-5,6.4,210.60634648370498,198.95,8.550000000000011
32,2014-02-20 11:30:00,HOU,LAL,134,108,0.0,1.09,10.5,8.5,0,1.65,211.5,215.5,3,1.77,客26+,8.2,212.0448484848485,204.85,6.650000000000006
33,2014-02-22 08:00:00,DAL,PHI,124,112,0.0,1.02,10.5,12.5,3,1.82,213.5,210.5,3,1.76,客11-15,4.8,215.07888471177947,207.7,5.800000000000011
34,2014-02-23 09:30:00,IND,MIL,110,100,0.0,1.01,11.5,12.5,3,1.77,189.5,189.5,3,1.75,客6-10,3.45,200.72727272727272,188.55,0.9499999999999886
35,2014-03-02 08:30:00,WAS,PHI,122,103,0.0,1.03,10.5,11.5,0,1.71,212.5,212.5,3,1.79,客16-20,4.5,211.2864406779661,196.25,16.25
36,2014-03-07 11:30:00,LAC,LAL,142,94,0.0,1.02,10.5,11.5,0,1.65,222.5,224.5,3,1.81,客26+,5.5,215.60317460317458,202.0,20.5
37,2014-03-10 03:30:00,OKC,LAL,110,114,3.0,6.65,11.5,12.5,3,1.9,229.5,228.5,0,1.79,主1-5,12.0,213.62911706349206,198.95,30.55000000000001
38,2014-03-15 07:00:00,IND,PHI,101,94,,,16.5,16.5,3,1.71,205.5,204.5,0,1.72,客6-10,4.6,209.61818181818182,198.3,7.199999999999989
39,2014-03-16 07:30:00,MEM,PHI,103,77,0.0,1.0,14.5,13.5,0,1.65,200.5,198.5,0,1.76,客26+,3.95,206.7590909090909,199.8,0.6999999999999886
40,2014-03-20 07:00:00,CHI,PHI,102,94,0.0,1.03,13.5,13.5,3,1.75,195.5,194.5,3,1.79,客6-10,3.5,203.97499999999997,194.75,0.75
41,2014-03-20 10:30:00,SAS,LAL,125,109,0.0,1.01,13.5,13.5,0,1.76,223.5,220.5,3,1.83,客16-20,4.4,213.955223880597,198.49999999999997,25.00000000000003
42,2014-03-22 07:00:00,NYK,PHI,93,92,0.0,1.03,12.5,12.5,3,1.75,210.5,209.5,0,1.72,客1-5,5.85,208.74265010351968,207.4,3.0999999999999943
43,2014-04-06 07:30:00,BKN,PHI,105,101,0.0,1.06,11.5,10.5,3,1.81,208.5,208.5,0,1.75,,,208.79005468215996,201.9,6.599999999999994
44,2014-04-09 10:30:00,HOU,LAL,145,130,0.0,1.06,10.5,9.5,0,1.65,223.5,228.5,3,1.79,,,217.2294871794872,210.90000000000003,12.599999999999966
45,2014-04-12 10:30:00,GSW,LAL,112,95,0.0,1.07,10.5,9.5,0,1.67,220.5,221.5,0,1.71,,,213.14050632911392,200.4,20.099999999999994
46,2014-04-14 09:30:00,MEM,LAL,102,90,0.0,1.03,11.5,12.5,3,1.64,206.5,208.5,0,1.72,,,205.3679012345679,195.9,10.599999999999994
47,2014-11-01 10:30:00,LAC,LAL,118,111,0.0,1.01,11.5,11.5,3,1.76,209.5,209.5,3,1.68,客6-10,3.25,223.5,212.5,-3.0
48,2014-11-04 08:00:00,HOU,PHI,104,93,0.0,1.05,11.5,10.5,0,1.72,207.5,203.5,0,1.71,客11-15,3.7,209.2,192.15,15.349999999999994
49,2014-11-08 08:00:00,CHI,PHI,118,115,0.0,1.04,10.5,10.5,3,1.79,189.5,189.5,3,1.75,客1-5,4.8,208.1857142857143,193.85,-4.349999999999994
50,2014-11-25 08:00:00,POR,PHI,114,104,0.0,1.0,11.5,12.5,3,1.87,204.5,201.5,3,1.76,客6-10,3.45,210.23571428571427,194.75,9.75
51,2014-11-30 08:00:00,DAL,PHI,110,103,0.0,1.01,12.5,12.5,3,1.84,206.5,206.5,3,1.75,客6-10,3.4,214.78333333333333,218.55,-12.050000000000011
52,2014-12-02 08:00:00,SAS,PHI,109,103,0.0,1.0,12.5,12.5,3,1.76,195.5,197.5,3,1.76,客6-10,3.45,205.91764705882355,189.9,5.599999999999994
53,2014-12-06 08:00:00,OKC,PHI,103,91,0.0,1.01,12.5,12.5,3,1.87,199.5,200.5,0,1.83,客11-15,3.7,196.29315789473685,191.15,8.349999999999994
54,2014-12-09 09:00:00,GSW,MIN,102,86,0.0,1.01,12.5,13.5,0,1.66,214.5,213.5,0,1.7,客16-20,4.5,217.01999999999998,206.75,7.75
55,2014-12-11 09:00:00,POR,MIN,82,90,3.0,5.6,10.5,10.5,3,1.72,207.5,206.5,0,1.72,主6-10,15.0,211.02813852813853,205.5,2.0
56,2014-12-14 08:30:00,MEM,PHI,120,115,0.0,1.02,11.5,10.5,3,1.84,195.5,194.5,3,1.79,客1-5,5.0,206.0217391304348,190.0,5.5
57,2014-12-24 11:30:00,GSW,LAL,105,115,3.0,5.08,10.5,10.5,3,1.83,213.5,215.5,3,1.77,主6-10,14.3,217.28531746031746,184.1,29.400000000000006
